Controlled Substances Schedule I,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
6,,,,,,,,,,,,,,,,,"N-[1-methyl-2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide (alpha-methylthiofentanyl), its optical isomers, salts and salts of isomers (November 29, 1985) 9832","N-[3-methyl-1-(2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide (3-methylthiofentanyl), its optical and geometric isomers, salts and salts of isomers (November 29, 1985) 9833",,"N,N-dimethylamphetamine (Some other names: N,N,alpha-trimethylphenethylamine), its salts, optical isomers, and salts of optical isomers (August 3, 1988)1480",,,,,,,,,,,,,,,,,,,,,,,"4-methyl-N-methylcathinone (Other names: mephdrone) (October 21, 2011) 1248",4–methyl–N–methylcathinone (Other names: mephedrone) 1248,4–methyl–N–methylcathinone (Other names: mephedrone) 1248,4–methyl–N–methylcathinone (Other names: mephedrone) 1248
7,,,,,,,,,,,,,,,,,"N-[1-benzyl-4-piperidyl]-N-phenylpropanamide (benzylfentanyl), its optical isomers, salts and salts of isomers (November 29, 1985) 9818","N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (expired November 29, 1986) 9834",,,,,,,,,,,,,,,,,,,,,,,,,"3,4-methylenedioxy-N-methylcathinone (Other names: methylone) (October 21, 2011) 7540","3,4-methylenedioxy-N-methylcathinone (Other names: methylone) 7540","3,4-methylenedioxy-N-methylcathinone (Other names: methylone) 7540","3,4-methylenedioxy-N-methylcathinone (Other names: methylone) 7540"
8,,,,,,,,,,,,,,,,,"N-[1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide (beta-hydroxyfentanyl), its optical isomers, salts and salts of isomers (November 29, 1985) 9830","N-[1-(2-(2-thienyl)ethyl-4-piperidy]-N-phenylpropanamide (thiofentanyl), its optical isomers, salts and salts of isomers (November 29, 1985) 9835",,,,,,,,,,,,,,,,,,,,,,,,,"3,4-methylenedioxypyrovalerone (Other names: MDPV) (October 21, 2011) 7535","3,4-methylenedioxypyrovalerone (Other names: MDPV) 7535","3,4-methylenedioxypyrovalerone (Other names: MDPV) 7535","3,4-methylenedioxypyrovalerone (Other names: MDPV) 7535"
9,,,,,,,,,,,,,,,,,"N-[3-methyl-1-(2-hydroxy-2-phenyl)ethyl-4-piperidyl]-N-phenylpropanamide (beta-hydrozy-3-methylfentanyl), its optical and geometric isomers, salts and salts of isomers (November 29, 1985) 9831","N-[1-(2-phenylethyl)-4-piperidyl]-N-(4-fluorophenyl)-propanamide (para-fluorofentanyl), its optical isomers, salts and salts of isomers (March 10, 1986) 9812",,,,,,,,,,,,,,,,,,,,,,,,,,,"(1–pentyl–1 H–indol–3–yl)(2,2,3,3–tetramethylcyclopropyl)methanone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: UR–144, 1–pentyl–3–(2,2,3,3–tetramethylcyclopropoyl)indole) (May 16, 2013) 7144 ","(1–pentyl–1 H–indol–3–yl)(2,2,3,3–tetramethylcyclopropyl)methanone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: UR–144, 1–pentyl–3–(2,2,3,3–tetramethylcyclopropoyl)indole) (May 16, 2013) 7144 "
10,,,,,,,,,,,,,,,,,"N-[3-methyl-1-(2-(2-thienyl)ethyl-4-piperidyl]-N-phenylpropanamide (3-methylthiofentanyl), its optical and geometric isomers, salts and salts of isomers (November 29, 1985) 9833",,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1–(5–fluoro-pentyl)–1 H–indol–3–yl](2,2,3,3–tetramethylcyclopropyl) methanone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 5–fluoro–UR–144, 5- F–UR–144, XLR11, 1–(5–fluoro- pentyl)–3–(2,2,3,3–tetramethylcyclopropoyl)indole) (May 16, 2013) 7011 ","[1–(5–fluoro-pentyl)–1 H–indol–3–yl](2,2,3,3–tetramethylcyclopropyl) methanone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 5–fluoro–UR–144, 5- F–UR–144, XLR11, 1–(5–fluoro- pentyl)–3–(2,2,3,3–tetramethylcyclopropoyl)indole) (May 16, 2013) 7011 "
11,,,,,,,,,,,,,,,,,"N-[1-(2-thienyl)methyl-4-piperidyl]-N-phenylpropanamide (thenyifentanul), its optical isomers, salts and salts of isomers (November 29, 1985) 9834",,,,,,,,,,,,,,,,,,,,,,,,,,,,"N–(1–adamantyl)–1–pentyl–1 H–indazole–3–carboxamide, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: APINACA, AKB48) (May 16, 2013) 7048","N–(1–adamantyl)–1–pentyl–1 H–indazole–3–carboxamide, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: APINACA, AKB48) (May 16, 2013) 7048"
12,,,,,,,,,,,,,,,,,"N-[1-(2-(2-thienyl)ethyl-4-piperidy]-N-phenylpropanamide (thiofentanyl), its optical isomers, salts and salts of isomers (November 29, 1985) 9835",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2–(4–iodo–2,5–dimethoxyphenyl)–N–(2–methoxybenzyl)ethanamine, its optical, positional, and geometric isomers, salts and salts of isomers(Other names: 25I–NBOMe; 2C–I–NBOMe; 25I; Cimbi–5) (November 16, 2013) 7538","2–(4–iodo–2,5–dimethoxyphenyl)–N–(2–methoxybenzyl)ethanamine, its optical, positional, and geometric isomers, salts and salts of isomers(Other names: 25I–NBOMe; 2C–I–NBOMe; 25I; Cimbi–5) (November 16, 2013) 7538"
13,,,,,,,,,,,,,,,,,"N-[1-(2-phenylethyl)-4-piperidyl]-N-(4-fluorophenyl)-propanamide (para-fluorofentanyl), its optical isomers, salts and salts of isomers (March 10, 1986) 9812",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2–(4–chloro–2,5–dimethoxyphenyl)–N–(2–methoxybenzyl)ethanamine, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 25C–NBOMe; 2C–C–NBOMe; 25C; Cimbi–82) (November 16, 2013) 7537 ","2–(4–chloro–2,5–dimethoxyphenyl)–N–(2–methoxybenzyl)ethanamine, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 25C–NBOMe; 2C–C–NBOMe; 25C; Cimbi–82) (November 16, 2013) 7537 "
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2–(4–bromo–2,5–dimethoxyphenyl)–N–(2–methoxybenzyl)ethanamine, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 25B–NBOMe; 2C–B–NBOMe; 25B; Cimbi–36) (November 16, 2013) 7536","2–(4–bromo–2,5–dimethoxyphenyl)–N–(2–methoxybenzyl)ethanamine, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 25B–NBOMe; 2C–B–NBOMe; 25B; Cimbi–36) (November 16, 2013) 7536"
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quinolin–8–yl 1–pentyl–1H–indole–3–carboxylate, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: PB–22; QUPIC) (February 10, 2014) 7222 ","Quinolin–8–yl 1–pentyl–1H–indole–3–carboxylate, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: PB–22; QUPIC) (February 10, 2014) 7222 "
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Quinolin–8–yl 1–(5–fluoropentyl)–1H–indole–3–carboxylate, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 5–fluoro–PB–22; 5F–PB–22) (February 10, 2014) 7225 ","Quinolin–8–yl 1–(5–fluoropentyl)–1H–indole–3–carboxylate, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 5–fluoro–PB–22; 5F–PB–22) (February 10, 2014) 7225 "
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N–(1–amino–3–methyl–1–oxobutan–2–yl)–1–(4–fluorobenzyl)–1H–indazole–3–carboxamide, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: AB–FUBINACA) (February 10, 2014) 7012","N–(1–amino–3–methyl–1–oxobutan–2–yl)–1–(4–fluorobenzyl)–1H–indazole–3–carboxamide, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: AB–FUBINACA) (February 10, 2014) 7012"
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N–(1–amino–3,3–dimethyl–1–oxobutan–2–yl)–1–pentyl–1H–indazole–3–carboxamide, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: ADB–PINACA) (February 10, 2014) 7035","N–(1–amino–3,3–dimethyl–1–oxobutan–2–yl)–1–pentyl–1H–indazole–3–carboxamide, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: ADB–PINACA) (February 10, 2014) 7035"
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4–methyl–N–ethylcathinone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 4–MEC; 2–(ethylamino)–1–(4–methylphenyl)propan–1–one)  (March 7, 2014) 1249","4–methyl–N–ethylcathinone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 4–MEC; 2–(ethylamino)–1–(4–methylphenyl)propan–1–one)  (March 7, 2014) 1249"
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4–methyl-alpha-pyrrolidinopropiophenone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 4–MePPP; MePPP; 4–methyl-#-pyrrolidinopropiophenone; 1–(4–methylphenyl)–2–(pyrrolidin–1– yl)-propan–1–one) (March 7, 2014) 7498","4–methyl-alpha-pyrrolidinopropiophenone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 4–MePPP; MePPP; 4–methyl-#-pyrrolidinopropiophenone; 1–(4–methylphenyl)–2–(pyrrolidin–1– yl)-propan–1–one) (March 7, 2014) 7498"
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"alpha-pyrrolidinopentiophenone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: _–PVP; _-pyrrolidinovalerophenone; 1–phenyl–2–(pyrrolidin–1–yl)pentan–1–one) (March 7, 2014) 7545 ","alpha-pyrrolidinopentiophenone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: _–PVP; _-pyrrolidinovalerophenone; 1–phenyl–2–(pyrrolidin–1–yl)pentan–1–one) (March 7, 2014) 7545 "
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butylone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: bk–MBDB; 1–(1,3–benzodioxol–5–yl)–2–(methylamino)butan–1–one) (March 7, 2014) 7541 ","Butylone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: bk–MBDB; 1–(1,3–benzodioxol–5–yl)–2–(methylamino)butan–1–one) (March 7, 2014) 7541 "
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pentedrone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: _-methylaminovalerophenone; 2–(methylamino)–1–phenylpentan–1–one) (March 7, 2014) 1246","Pentedrone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: _-methylaminovalerophenone; 2–(methylamino)–1–phenylpentan–1–one) (March 7, 2014) 1246"
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Pentylone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: bk–MBDP; 1–(1,3–benzodioxol–5–yl)–2–(methylamino)pentan–1–one)  (March 7, 2014) 7542","Pentylone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: bk–MBDP; 1–(1,3–benzodioxol–5–yl)–2–(methylamino)pentan–1–one)  (March 7, 2014) 7542"
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4–fluoro–N–methylcathinone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 4–FMC; flephedrone; 1–(4–fluorophenyl)–2–(methylamino)propan–1–one) (March 7, 2014) 1238","4–fluoro–N–methylcathinone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 4–FMC; flephedrone; 1–(4–fluorophenyl)–2–(methylamino)propan–1–one) (March 7, 2014) 1238"
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3–fluoro–N–methylcathinone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 3–FMC; 1–(3–fluorophenyl)–2–(methylamino)propan–1–one) (March 7, 2014) 1233","3–fluoro–N–methylcathinone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: 3–FMC; 1–(3–fluorophenyl)–2–(methylamino)propan–1–one) (March 7, 2014) 1233"
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Naphyrone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: naphthylpyrovalerone; 1–(naphthalen–2–yl)–2–(pyrrolidin–1–yl)pentan–1–one) (March 7, 2014) 1258","Naphyrone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: naphthylpyrovalerone; 1–(naphthalen–2–yl)–2–(pyrrolidin–1–yl)pentan–1–one) (March 7, 2014) 1258"
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"alpha-pyrrolidinobutiophenone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: _–PBP; 1–phenyl–2–(pyrrolidin–1–yl)butan–1–one) (March 7, 2014) 7546","alpha-pyrrolidinobutiophenone, its optical, positional, and geometric isomers, salts and salts of isomers (Other names: _–PBP; 1–phenyl–2–(pyrrolidin–1–yl)butan–1–one) (March 7, 2014) 7546"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N-(1-Amino-3-Methyl-1-Oxobutan-2-YL)-1-(Cyclohexylmethyl)-1H-Inadazole-3-Carboxamide (AB-Chminaca) (Jan. 30, 2015) 7012"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1-(5-Fluoropentyl)-1H-Indazol-3-YL](Naphthalen-1-YL) Methanone (THJ-2201) (Jan. 30, 2015) 7024"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"N-(1-Amino-3-Methyl-1-Oxobutan-2-YL)-1-Pentyl-1H-Indazole-3-Carboxamide (AB-PINACA) (Jan. 30, 2015) 7023"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
